State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Maryland,NA,NA,NA,NA,NA,NA,0.033159006134969325,0.024685214177978886,0.02361540305010893,0.024595545454545453,0.028369918722786647,0.026296115015974442,0.025613921511627908,0.025449509130752373,0.0280350342224459,0.02804939686552073,0.027408578358208955
Massachusetts,NA,0.01919423076923077,0.02227236994818653,0.01921231506849315,0.020858250793650793,0.020080340974212036,0.017630241666666668,0.018517331491712707,0.020513361643835618,0.021127415512465376,0.02220179529737206,0.020850771978021976,0.020715857740585774,0.021589364922206505,0.021383965838509315,0.022485863777089783,0.023563384615384615
Michigan,0.023350182072829132,0.02806752380952381,0.02853956657223796,0.027213933333333332,0.025909787172011662,0.029731098159509202,0.027173420454545454,0.021,NA,NA,NA,NA,NA,NA,NA,NA,NA
Minnesota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.027551158536585366,0.035083,NA,0.02524735606060606,0.026115101459854014,NA
Missouri,0.027760803557617942,0.029468473922902496,0.028731589201877933,0.02880860372960373,0.025585274418604653,0.03260904428904429,0.028702967136150236,0.03156377725118483,0.028429948837209302,NA,NA,NA,NA,0.024133250728862975,0.02508600278551532,0.020683460431654678,0.023045714285714287
Nevada,NA,0.030838217391304348,0.04121669252873563,0.04138600602409639,NA,NA,NA,NA,NA,NA,0.0182294,0.026886372602739725,0.03157218888888889,0.028116846376811593,0.031490459537572256,0.03149623211446741,0.022641166666666667
New Hampshire,NA,NA,0.030568168478260868,0.028951310344827588,0.02689842391304348,0.02630129353233831,0.028569491428571427,0.02860416304347826,0.027778604395604395,0.022297631775700936,0.02961196641791045,NA,NA,NA,0.02563451724137931,0.029951354748603352,0.03165096610169492
New Jersey,0.02028053277545328,0.022387853737811485,0.023180811320754717,0.021160725190839693,0.02193390674318508,0.023923578378378378,0.024464342618384403,0.024164489107519324,0.026259660447761193,NA,NA,0.02228598275862069,0.025578552980132452,0.024276122052704577,0.023692694986072422,0.024570387755102042,NA
New Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03271685289957567,0.03196546796657382,0.03306059414225941,0.030883371349095967,0.029849920454545455,NA
New York,0.021251528692879915,0.020936242545616376,0.022017362409638554,0.02115781877839475,0.021116877928483355,0.02263021852033317,0.023701319030591975,0.023019917647058824,0.0243483375,0.025202734969325152,0.028120914012738852,0.025910588094286854,0.024573976744186047,0.024628091539528434,0.024053095238095238,0.023756726519337017,0.023971518828451884
North Carolina,0.03465238950276243,0.0337466802507837,0.03713528193832599,0.030765832389580975,0.030785011961722487,0.03203882790697674,0.03240122222222222,0.029454453168044077,0.028049355371900828,0.025921465714285715,0.028404657303370787,0.02928011251758087,0.02801424025974026,0.025435673295454545,0.026798354257302672,0.02681933309709426,0.029335038297872342
North Dakota,NA,NA,NA,NA,NA,NA,NA,NA,0.024832457725947523,0.02520029916897507,0.026455032876712328,0.025588098837209302,0.025031936813186814,0.029309844,0.027108730081300814,0.024690896656534955,0.025867692307692307
Ohio,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02809769161676647,0.03808820765027322,0.02495075215845607,0.023369489501312336,0.023429307034220533,0.023705387066974597,0.02392558585340851,0.025508180555555555
