State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Louisiana,3.658712430327869,3.691796738888889,2.6127590725689407,3.3623285555555555,3.4598764520547944,3.7669608180851064,3.4377572416879794,2.574561514084507,2.395542344055944,1.9134634279778393,1.3596249348441927,1.2474198347107437,0.8244011042253521,0.6352537291666667,1.245026333836858,1.0705288620689655,1.1132564605263158
Maine,NA,NA,NA,NA,NA,NA,0.8235399448275862,0.7790631561643836,1.212799505376344,1.82354757573474,0.9401552966453072,0.8144703646485734,0.7577239397632312,0.8383433725888325,0.5293181666666666,0.8553542174556213,0.3326377937062937
Maryland,NA,NA,NA,NA,NA,NA,3.946660837423313,3.1987664419306183,2.8056360468409585,2.5025550172413795,2.1529911799709724,1.9809930255591055,1.1303751671511628,0.9568023469685902,1.0650572546552592,0.8920482702224469,0.7271850970149254
Massachusetts,NA,5.902048490384615,4.557525230569948,6.004032995890411,3.636952896825397,1.9711940243553008,2.408004938888889,3.1667044074585635,2.330869483561644,2.126782941828255,1.5808720235131397,1.2489172087912088,1.101261649232915,1.0711304285714285,1.0277057298136647,0.7164238699690403,0.6768586648351649
Michigan,5.4152512058823525,5.39270774829932,3.4006706798866855,2.992979671014493,2.386398387755102,2.6919049570552147,1.906767643465909,2.3229165,NA,NA,NA,NA,NA,NA,NA,NA,NA
Minnesota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8922807961672474,0.39222764112903225,NA,0.41520928787878786,0.7046586452554745,NA
Missouri,4.1454618870843,4.293489820294784,4.103031720657277,3.60323170979021,3.4189968802325583,3.1790188275058275,3.2980340328638498,3.4360598530805686,2.8067672209302326,NA,NA,NA,NA,2.4882097842565596,2.1309381949860726,1.3924375341726618,1.1153763775510204
Nevada,NA,0.2875264293478261,0.06186980747126437,0.013993472891566265,NA,NA,NA,NA,NA,NA,0.43043549999999997,0.5022216835616439,0.37438249305555554,0.499728731884058,0.37427555924855493,0.3929506987281399,0.3793695064102564
New Hampshire,NA,NA,1.110621652173913,1.3233987298850576,2.356116831521739,3.006628592039801,1.519043017142857,1.2446594945652174,1.3260550934065933,1.4825220308411216,0.9733833320895522,NA,NA,NA,0.9137553275862069,0.8291063086592179,0.8188821525423728
New Jersey,6.277910829149233,5.736811509209101,5.427977851233672,6.6851701183206105,5.605666237446198,4.923069317374518,3.9079021086350973,3.6578209732958538,3.2737211436567164,NA,NA,1.9554864252873563,1.1821660645695364,0.5411560686546463,0.5906431685236769,0.2922892156462585,NA
New Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4040336336633663,0.6469370766016713,0.7893405188284519,0.5355299916550765,0.6866199644886364,NA
New York,7.1823280015940485,7.795533376724522,6.823424346987951,7.44700967390207,6.997804568927251,7.351623626653601,4.699358548271752,4.960159861764706,4.548562822569444,3.3451750702453986,3.03918173566879,2.483608524370755,2.5156718166894665,1.8067857808599168,1.4327756841736694,1.0049649689226519,1.0514274393305438
North Carolina,3.660565052486188,3.280424079937304,2.736496133259912,2.889653042468856,2.369893836124402,2.1561983906976745,2.6581683935185185,2.9402462073002753,2.070266874655647,0.8021515,0.9044115351123595,0.5708105450070323,0.2337694375,0.2538279133522727,0.33198699005593535,0.27141563465627216,0.23583964468085106
North Dakota,NA,NA,NA,NA,NA,NA,NA,NA,0.19270831778425657,0.2677461814404432,0.2816074575342466,0.2770650479651163,0.2248054945054945,0.216061826,0.15634254227642277,0.12183230395136778,0.24749544505494506
Ohio,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.728279872754491,1.473980068306011,4.6100939568308785,3.1100301607611547,2.3153791806083652,2.262784156581986,2.222045385699641,1.6869930083333333
Oklahoma,0.8520764553903346,1.0042250478087649,1.0158369728555918,1.0501872535460992,0.9094590989707046,0.412697287804878,1.9068094252873564,0.6539768912058024,0.5917958721264368,0.6540591551172708,0.7939623878143134,0.8421996271379704,0.458297875,0.3473052354570637,0.16927344011976048,0.6931801370786517,1.489844794520548
Oregon,NA,NA,NA,NA,NA,NA,NA,1.1652148636363637,0.9716905564024391,1.6073562622478386,1.338063201369863,0.7425561102484473,0.6284328317901234,1.0765544954954955,0.84132140029985,0.46626452602739726,NA
Pennsylvania,5.154716495584818,5.269352699032109,5.05125617555822,4.913716502659574,4.591875559067592,5.491304976148668,5.003028824955363,5.1705318903225805,3.979249913199426,3.544585793348177,2.9196113426452412,2.136101483929544,2.19093887721655,2.1006906878682843,2.2542889042394014,1.3503994457267623,1.0580259293233083
Rhode Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16170763636363636,0.6513003933463797,0.6920374844632768,0.6172900097629009,0.33302241111111114,0.3658904958677686
South Carolina,NA,NA,NA,0.7008374045454545,NA,NA,1.2169430718390806,0.8810214438943894,0.8244518421052631,0.5427266782006921,0.6528509504310345,NA,NA,NA,NA,NA,0.2312893275862069
South Dakota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43378950775740477,0.47678463630136986,0.4291728977027997,0.7045552025316456,0.36548254065040653,NA
Tennessee,NA,NA,1.2277952739726028,1.3092533480392157,NA,NA,NA,NA,1.3559292655367232,0.6942489620253165,0.8818676046931408,NA,NA,NA,NA,0.10159327645788337,0.1368034689440994
Texas,2.7260690956759444,1.7270888770712909,0.361111015687251,2.0365091941800877,2.010291317103845,2.269777696001428,1.8484827792778649,1.2479192559217303,0.7728803574450936,0.6684406135843561,0.8289956869149572,0.6344638368549822,0.5638771177334733,0.38636808459483524,0.3239823880164517,0.25830593386093836,0.32169478
Utah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9578963753462604,0.22075977531206656,0.2750971569416499,0.4842702101910828,0.25112183596837945,0.6617261666666667
